Image,Entropy(bits),Avg_Gradient,time/frame
0443_dehazed.png,7.5354,49.8865,0.0255
0444_dehazed.png,7.5346,49.8575,0.0248
0445_dehazed.png,7.5442,50.0666,0.0236
0446_dehazed.png,7.5404,50.0214,0.0268
0447_dehazed.png,7.5408,50.0174,0.0292
0448_dehazed.png,7.5405,50.0084,0.0284
0449_dehazed.png,7.541,50.0382,0.0294
0450_dehazed.png,7.5413,50.0964,0.0217
0451_dehazed.png,7.5414,49.9782,0.0231
0452_dehazed.png,7.5389,49.9974,0.0249
0453_dehazed.png,7.5384,50.0683,0.0236
0454_dehazed.png,7.5371,50.1173,0.0208
0455_dehazed.png,7.5355,50.0892,0.0198
0456_dehazed.png,7.5335,50.1061,0.0236
0457_dehazed.png,7.538,50.1553,0.0211
0458_dehazed.png,7.5326,50.0946,0.0289
0459_dehazed.png,7.5326,50,0.0291
0460_dehazed.png,7.5313,49.9426,0.0232
0461_dehazed.png,7.531,49.9161,0.0267
0462_dehazed.png,7.531,49.848,0.0272
0463_dehazed.png,7.5291,49.746,0.0228
0464_dehazed.png,7.5262,49.6851,0.0201
0465_dehazed.png,7.5249,49.6331,0.0269
0466_dehazed.png,7.5227,49.5394,0.0206
0467_dehazed.png,7.5212,49.4975,0.0265
0468_dehazed.png,7.52,49.4495,0.0257
0469_dehazed.png,7.5254,49.6573,0.0224
0470_dehazed.png,7.5198,49.6008,0.0190
0471_dehazed.png,7.5193,49.5738,0.0260
0472_dehazed.png,7.517,49.5191,0.0198
0473_dehazed.png,7.5161,49.479,0.0250
0474_dehazed.png,7.5162,49.4759,0.0226
0475_dehazed.png,7.5147,49.483,0.0208
0476_dehazed.png,7.515,49.4917,0.0293
0477_dehazed.png,7.5146,49.4741,0.0297
0478_dehazed.png,7.514,49.4457,0.0299
0479_dehazed.png,7.5136,49.4129,0.0291
0480_dehazed.png,7.5125,49.4075,0.0249
0481_dehazed.png,7.5191,49.5518,0.0230
0482_dehazed.png,7.5137,49.4878,0.0260
0483_dehazed.png,7.5139,49.4797,0.0289
0484_dehazed.png,7.5124,49.4791,0.0221
0485_dehazed.png,7.5135,49.4878,0.0273
0486_dehazed.png,7.5128,49.4922,0.0226
0487_dehazed.png,7.5133,49.5161,0.0259
0488_dehazed.png,7.5135,49.5254,0.0262
0489_dehazed.png,7.5133,49.5199,0.0275
0490_dehazed.png,7.5129,49.525,0.0278
0491_dehazed.png,7.5127,49.5463,0.0288
0492_dehazed.png,7.5122,49.5582,0.0213
0493_dehazed.png,7.518,49.7356,0.0271
0494_dehazed.png,7.5139,49.6864,0.0261
0495_dehazed.png,7.5146,49.6668,0.0250
0496_dehazed.png,7.5139,49.6608,0.0292
0497_dehazed.png,7.5142,49.6593,0.0282
0498_dehazed.png,7.5135,49.6615,0.0237
0499_dehazed.png,7.5137,49.6724,0.0209
0500_dehazed.png,7.5128,49.6834,0.0212
0501_dehazed.png,7.5115,49.5994,0.0195
0502_dehazed.png,7.5104,49.581,0.0297
0503_dehazed.png,7.5106,49.5934,0.0278
0504_dehazed.png,7.5099,49.5921,0.0301
0505_dehazed.png,7.5173,49.5456,0.0230
0506_dehazed.png,7.5139,49.5061,0.0222
0507_dehazed.png,7.5129,49.4866,0.0225
0508_dehazed.png,7.512,49.4854,0.0233
0509_dehazed.png,7.5116,49.4803,0.0254
0510_dehazed.png,7.5122,49.4977,0.0274
0511_dehazed.png,7.5122,49.4962,0.0234
0512_dehazed.png,7.5119,49.4885,0.0290
0513_dehazed.png,7.5114,49.4997,0.0227
0514_dehazed.png,7.5111,49.5036,0.0224
0515_dehazed.png,7.5115,49.5158,0.0218
0516_dehazed.png,7.5112,49.5187,0.0203
0517_dehazed.png,7.5184,49.7414,0.0286
0518_dehazed.png,7.5157,49.702,0.0236
0519_dehazed.png,7.5151,49.6968,0.0203
0520_dehazed.png,7.5147,49.6935,0.0246
0521_dehazed.png,7.5151,49.6941,0.0261
0522_dehazed.png,7.5143,49.7087,0.0287
0523_dehazed.png,7.5146,49.7091,0.0226
0524_dehazed.png,7.5141,49.7181,0.0267
0525_dehazed.png,7.5144,49.7258,0.0290
0526_dehazed.png,7.5147,49.7382,0.0196
0527_dehazed.png,7.5143,49.7327,0.0287
0528_dehazed.png,7.5138,49.7493,0.0198
0529_dehazed.png,7.5207,49.9121,0.0191
0530_dehazed.png,7.518,49.8601,0.0265
0531_dehazed.png,7.5168,49.8473,0.0285
0532_dehazed.png,7.5169,49.8448,0.0293
0533_dehazed.png,7.517,49.85,0.0259
0534_dehazed.png,7.5171,49.8387,0.0271
0535_dehazed.png,7.5169,49.8478,0.0253
0536_dehazed.png,7.5166,49.8527,0.0293
0537_dehazed.png,7.517,49.8604,0.0258
0538_dehazed.png,7.5161,49.8809,0.0224
0539_dehazed.png,7.5164,49.8911,0.0275
0540_dehazed.png,7.517,49.8959,0.0298
0541_dehazed.png,7.5211,50.0469,0.0218
0542_dehazed.png,7.5174,49.982,0.0297
0543_dehazed.png,7.5171,49.9657,0.0207
0544_dehazed.png,7.5164,49.9755,0.0195
0545_dehazed.png,7.5162,49.9675,0.0198
0546_dehazed.png,7.5167,49.9673,0.0284
0547_dehazed.png,7.5168,49.9493,0.0276
0548_dehazed.png,7.5166,49.9484,0.0264
0549_dehazed.png,7.5166,49.9456,0.0216
0550_dehazed.png,7.5155,49.9384,0.0290
0551_dehazed.png,7.5145,49.8501,0.0289
0552_dehazed.png,7.5144,49.8337,0.0203
0553_dehazed.png,7.5202,49.7047,0.0237
0554_dehazed.png,7.5173,49.6574,0.0239
0555_dehazed.png,7.5167,49.6425,0.0245
0556_dehazed.png,7.517,49.6388,0.0280
0557_dehazed.png,7.5172,49.6298,0.0221
0558_dehazed.png,7.518,49.6282,0.0239
0559_dehazed.png,7.5179,49.6344,0.0239
